SOURCEURL,ActionGeo_FullName,CAMEOCodeDescription,GoldsteinScale,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,NumMentions,NumArticles
https://eturbonews.com/the-reason-ukraine-international-airlines-ps752-was-shut-down-over-iran/,Ukraine," Use conventional military force, not specified below",-10.0,IRANIAN,IRN,AIRLINE,,2,2
https://www.jowhar.com/world-news/ukraine-arrests-girl-on-treason-charges-for-supporting-russia.html,"Dniprorudne, Zaporiz'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,RUSSIA,RUS,UKRAINE,UKR,1,1
https://www.urdupoint.com/en/world/red-cross-marks-record-numbers-of-humanitaria-1889018.html,Ukraine," Use conventional military force, not specified below",-10.0,,,RED CRESCENT,,3,3
https://www.bignewsnetwork.com/news/274821297/poland-could-legally-equate-ukrainian-nationalists-with-hitler-nazis---media,"Kiev, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,POLE,POL,1,1
https://www.bignewsnetwork.com/news/274821297/poland-could-legally-equate-ukrainian-nationalists-with-hitler-nazis---media,"Kiev, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,ARMY,,1,1
https://www.spectator.co.uk/article/the-deepening-unpopularity-of-zelensky/,"Kyiv, Kyyiv, Misto, Ukraine"," Use conventional military force, not specified below",-10.0,,,UKRAINE,UKR,2,2
https://www.yahoo.com/news/best-look-russia-shadowy-zircon-231918436.html,"Kyiv, Kyyiv, Misto, Ukraine", Employ aerial weapons,-10.0,,,UKRAINE,UKR,3,3
https://www.yahoo.com/news/best-look-russia-shadowy-zircon-231918436.html,"Yasen, Ivano-Frankivs'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,RUSSIAN,RUS,UKRAINE,UKR,4,4
https://www.yahoo.com/news/best-look-russia-shadowy-zircon-231918436.html,"Yasen, Ivano-Frankivs'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,RUSSIAN,RUS,UKRAINE,UKR,6,6
https://www.spectator.co.uk/article/the-deepening-unpopularity-of-zelensky/,"Kyiv, Kyyiv, Misto, Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,,,2,2
https://www.spectator.co.uk/article/the-deepening-unpopularity-of-zelensky/,"Kyiv, Kyyiv, Misto, Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,THE US,USA,2,2
https://www.yahoo.com/news/best-look-russia-shadowy-zircon-231918436.html,"Kyiv, Kyyiv, Misto, Ukraine", Employ aerial weapons,-10.0,UKRAINIAN,UKR,UKRAINE,UKR,5,5
https://www.spectator.co.uk/article/the-deepening-unpopularity-of-zelensky/,"Kyiv, Kyyiv, Misto, Ukraine"," Use conventional military force, not specified below",-10.0,THE US,USA,UKRAINE,UKR,2,2
https://www.gmanetwork.com/news/topstories/world/929041/red-cross-marks-record-numbers-of-humanitarians-killed-in-2024/story/,Ukraine," Use conventional military force, not specified below",-10.0,SYRIAN,SYR,RED CRESCENT,,3,3
https://www.heart.co.uk/news/uk-world/georgia-crackdown-begins-on-anti-government-p/,Ukraine," Use conventional military force, not specified below",-10.0,,,PROTESTER,,4,4
https://www.heart.co.uk/news/uk-world/georgia-crackdown-begins-on-anti-government-p/,Ukraine," Use conventional military force, not specified below",-10.0,PROTESTER,,,,4,4
https://www.fox4news.com/news/dallas-surgeon-helps-ukrainian-soldiers-injured-battle,"Kyiv, Kyyiv, Misto, Ukraine"," Use conventional military force, not specified below",-10.0,RUSSIAN,RUS,,,2,2
https://www.fox4news.com/news/dallas-surgeon-helps-ukrainian-soldiers-injured-battle,"Kyiv, Kyyiv, Misto, Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,DALLAS,USA,4,4
https://www.fox4news.com/news/dallas-surgeon-helps-ukrainian-soldiers-injured-battle,"Kyiv, Kyyiv, Misto, Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINIAN,UKR,DALLAS,USA,6,6
https://www.armscontrol.org/act/2024-12/news/us-supply-landmines-ukraine,Ukraine," Use conventional military force, not specified below",-10.0,UNITED STATES,USA,UKRAINE,UKR,2,2
https://www.armscontrol.org/act/2024-12/news/us-supply-landmines-ukraine,Ukraine," Use conventional military force, not specified below",-10.0,THE WHITE HOUSE,USA,UKRAINIAN,UKR,4,4
https://www.postandcourier.com/opinion/commentary/ukraine-war-american-consent-trump/article_49f3a75a-b1a0-11ef-a562-174bbf318404.html,Ukraine," Use conventional military force, not specified below",-10.0,RUSSIA,RUS,UKRAINE,UKR,8,8
https://www.postandcourier.com/opinion/commentary/ukraine-war-american-consent-trump/article_49f3a75a-b1a0-11ef-a562-174bbf318404.html,Ukraine," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,RUSSIA,RUS,8,8
https://news.usni.org/2024/12/04/finland-crafting-whole-of-government-defense-posture,"Kharkiv, Kharkivs'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,,,10,10
https://www.shtfplan.com/conspiracy-fact-and-theory/visualizing-ukraines-collapsing-front-lines-amid-the-steady-russian-onslaught,"Kyiv, Kyyiv, Misto, Ukraine"," Use conventional military force, not specified below",-10.0,RUSSIAN,RUS,UKRAINIAN,UKR,1,1
https://www.theguardian.com/world/2024/dec/05/ukraine-war-briefing-zelenskyy-delegation-meets-with-trump-team-report,"Kyiv, Kyyiv, Misto, Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINIAN,UKR,GROZNY,RUS,10,10
https://www.eurasiareview.com/05122024-blinken-ukraine-must-make-hard-but-necessary-decisions/,"Chernihiv, Chernihivs'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,RUSSIA,RUS,2,2
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Dnipro, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,,,VILLAGE,,1,1
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Kherson, Khersons'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,,,KYIV,UKR,8,8
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Kherson, Khersons'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,BANK,,RUSSIAN,RUS,2,2
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Dnipro, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,VILLAGE,,UKRAINE,UKR,2,2
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Dnipro, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,VILLAGE,,UKRAINE,UKR,2,2
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Dniprorudne, Zaporiz'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,RUSSIA,RUS,,,1,1
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Kherson, Khersons'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,RUSSIA,RUS,UKRAINE,UKR,1,1
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,RUSSIA,RUS,UKRAINE,UKR,1,1
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Kherson, Khersons'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,KYIV,UKR,,,8,8
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Kherson, Khersons'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINIAN,UKR,VILLAGE,,1,1
https://www.yahoo.com/news/russia-massing-possible-cross-river-235927232.html,"Kupyansk, Kharkivs'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINIAN,UKR,RUSSIA,RUS,1,1
https://www.uniondemocrat.com/news/article_fcd0b36e-b2a3-11ef-a898-27d71c2205cb.html,"Kiev, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,FREEDOM FIGHTER,,10,10
https://www.uniondemocrat.com/news/article_fcd0b36e-b2a3-11ef-a898-27d71c2205cb.html,"Kiev, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,UNITED STATES,USA,2,2
https://www.uniondemocrat.com/news/article_fcd0b36e-b2a3-11ef-a898-27d71c2205cb.html,"Kiev, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,AMERICAN,USA,4,4
https://www.yahoo.com/news/first-call-russian-defense-chief-043845438.html,Ukraine," Use conventional military force, not specified below",-10.0,RUSSIA,RUS,,,2,2
https://www.zerohedge.com/geopolitical/blinken-ramps-pressure-zelensky-get-younger-people-fight,"Kiev, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,UKRAINE,UKR,WASHINGTON,USA,2,2
https://balloon-juice.com/2024/12/04/war-for-ukraine-day-1015-a-brief-wednesday-night-update/,"Dnipro, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,VILLAGE,,MILITARY,,3,3
https://balloon-juice.com/2024/12/04/war-for-ukraine-day-1015-a-brief-wednesday-night-update/,"Dnipro, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,VILLAGE,,UKRAINE,UKR,1,1
https://balloon-juice.com/2024/12/04/war-for-ukraine-day-1015-a-brief-wednesday-night-update/,"Dnipro, Ukraine (general), Ukraine"," Use conventional military force, not specified below",-10.0,MILITARY,,VILLAGE,,1,1
https://balloon-juice.com/2024/12/04/war-for-ukraine-day-1015-a-brief-wednesday-night-update/,"Kherson, Khersons'ka Oblast', Ukraine"," Use conventional military force, not specified below",-10.0,RUSSIA,RUS,,,2,1
