,SOURCEURL,ActionGeo_FullName,CAMEOCodeDescription,GoldsteinScale,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,NumMentions,NumArticles
121,https://www.eurasiareview.com/22122024-pope-francis-all-religions-are-paths-to-god-oped/,Germany," Make statement, not specified below",0.0,ATHEIST,,GERMAN,DEU,4,4
217,https://www.eurasiareview.com/22122024-pope-francis-all-religions-are-paths-to-god-oped/,Germany," Investigate, not specified below",-2.0,THE POPE,,GERMANY,DEU,4,4
286,https://www.ndtv.com/world-news/first-grief-then-a-political-tone-over-germanys-christmas-market-attack-7304965,Germany, Express accord,3.4,GERMANY,DEU,MEDIA,,1,1
287,https://www.ndtv.com/world-news/first-grief-then-a-political-tone-over-germanys-christmas-market-attack-7304965,Germany, Criticize or denounce ,-2.0,GERMANY,DEU,ISLAM,,1,1
288,https://www.eurasiareview.com/22122024-pope-francis-all-religions-are-paths-to-god-oped/,Germany, Praise or endorse,3.4,GERMANY,DEU,RELIGION,,2,2
391,https://www.ndtv.com/world-news/first-grief-then-a-political-tone-over-germanys-christmas-market-attack-7304965,Germany," Arrest, detain, or charge with legal action ",-5.0,AUTHORITIES,,SAUDI ARABIA,SAU,2,2
510,https://www.thenews.com.pk/tns/detail/1263656-is-pml-n-gazing-into-an-abyss,Germany, Rally support on behalf of,3.8,MEDIA,,,,5,5
